Chiplet_14,Total Buffer Area within the Tile,5.11887e+06,um^2
Chiplet_15,Subarray Area,644245,um^2
Chiplet_15,Chip Area,3.23166e+07,um^2
Chiplet_15,Total Within Tile Routing Area,1.91725e+06,um^2
Chiplet_15,Total ADC (or S/As and precharger for SRAM) Area,8.52336e+06,um^2
Chiplet_15,Total Accumulation Area,4.25498e+06,um^2
Chiplet_15,Total Other Peripheries Area,7.01713e+06,um^2
Chiplet_15,Total Buffer Area within the Tile,9.95964e+06,um^2
Chiplet_16,Subarray Area,1.9126e+06,um^2
Chiplet_16,Chip Area,1.07458e+08,um^2
Chiplet_16,Total Within Tile Routing Area,5.82644e+06,um^2
Chiplet_16,Total ADC (or S/As and precharger for SRAM) Area,2.53037e+07,um^2
Chiplet_16,Total Accumulation Area,1.44401e+07,um^2
Chiplet_16,Total Other Peripheries Area,2.95815e+07,um^2
Chiplet_16,Total Buffer Area within the Tile,3.03933e+07,um^2
Total NoC area is	0.0497969	um^2
Total NoP area is	829.544	um^2
Total NoP Driver area is	541059.0	um^2
